name,population,region,educationExpenditures,birthPer1000,deathPer1000,GDPPerCapita,inflationRate,militaryExpenditures,GDPPurchasePower,GDPGrowthRate,reservesOfForeignCurrency,electricityConsumption,laborForce
Ecuador,17093159,South America,5,16.71,5.15,11375,0.2,2.3,1.97631E+11,0.06,2395000000,22680000000,8086000
Sri Lanka,23044123,South Asia,2.1,14.01,6.45,13078,4.3,1.9,2.85141E+11,2.29,7959000000,12670000000,8000000
Zimbabwe,14829988,Africa,5.9,33.34,9.02,2836,241.7,0.7,41533000000,3.7,431800000,7118000000,7907000
Yemen,30399243,Middle East,0,25.21,5.69,2500,24.7,4.3,73630000000,-5.9,245400000,3681000000,7425000
Austria,8884864,Europe,5.4,9.48,9.85,56188,1.5,0.7,4.9878E+11,1.42,21570000000,64600000000,3739000
Bhutan,857423,South Asia,6.9,16.17,6.28,11832,5.8,0,9029000000,7.4,1206000000,2184000000,397900
Malawi,20308502,Africa,4.7,28.59,4.66,1060,9.3,0.9,19741000000,4,780200000,1321000000,7000000
Kuwait,3032065,Middle East,0,17.9,2.23,49854,1.5,5,2.09738E+11,-3.3,33700000000,57780000000,2695000
Senegal,16082442,Africa,4.8,31.31,7.55,3395,-0.8,1.5,55324000000,7.2,1827000000,3497000000,6966000
Montserrat,5387,Central America,8.8,11.14,5.94,34000,1.2,0,1.674E+11,7.4,47580000,22320000,4521
Zambia,19077816,Africa,4.6,35.23,6.24,3470,9.1,1.2,61985000000,3.4,2082000000,11040000000,6898000
Greece,10569703,Europe,0,7.72,12.05,29799,0.2,2.68,3.19334E+11,1.87,7807000000,56890000000,4000000
Guatemala,17422821,Central America,3.2,22.79,4.94,8637,3.7,0.4,1.43416E+11,2.8,11770000000,10100000000,6664000
Denmark,5894687,Europe,7.8,11.17,9.5,57804,0.7,1.43,3.36335E+11,2.85,75250000000,33020000000,2736000
Mali,20137527,Africa,3.8,41.6,8.77,2322,1.9,2.7,45637000000,5.4,647800000,2982000000,6447000
Romania,21230362,Europe,3.1,8.39,11.99,29941,3.8,2.07,5.79549E+11,4.2,44430000000,49640000000,4889000
